owner,repo,issue_number,title,state,created_at,closed_at,comments,labels,html_url,fix_time_hours,fix_time_days,project
pallets,flask,2731,Flask 1.0 backwards-incompat with double-slash/no-slash re. #2629,closed,2018-04-27 13:12:55+00:00,2018-04-27 19:47:01+00:00,1,bug;blueprints,https://github.com/pallets/flask/issues/2731,6.568333333333333,0.27368055555555554,pallets/flask
pallets,flask,2728,Wrong wheel for Flask 0.12.3 in PyPI,closed,2018-04-27 09:34:05+00:00,2018-04-30 01:27:34+00:00,10,bug;packaging,https://github.com/pallets/flask/issues/2728,63.89138888888889,2.6621412037037038,pallets/flask
pallets,flask,2651,get_json's silent option cache None and causes weird side-effect,closed,2018-03-05 20:09:06+00:00,2018-04-09 10:00:42+00:00,7,bug;json,https://github.com/pallets/flask/issues/2651,829.86,34.5775,pallets/flask
pallets,flask,2549,"""Request.is_xhr deprecated"" warning during jsonify()",closed,2017-12-11 17:54:11+00:00,2017-12-11 18:17:42+00:00,11,bug,https://github.com/pallets/flask/issues/2549,0.39194444444444443,0.01633101851851852,pallets/flask
pallets,flask,2526,Invalid range with send_file() and xsendfile causes ValueError,closed,2017-11-23 09:13:39+00:00,2017-11-24 23:44:49+00:00,0,bug,https://github.com/pallets/flask/issues/2526,38.519444444444446,1.604976851851852,pallets/flask
pallets,flask,2267,Flask error handler caching leads to inconsistent behavior,closed,2017-05-02 01:20:27+00:00,2017-06-05 13:34:49+00:00,1,bug,https://github.com/pallets/flask/issues/2267,828.2394444444444,34.50997685185185,pallets/flask
pallets,flask,2118,config.from_pyfile crashes on Python 3 when source isn't encoded in default encoding,closed,2016-12-20 03:01:50+00:00,2016-12-26 02:51:24+00:00,24,bug,https://github.com/pallets/flask/issues/2118,143.82611111111112,5.99275462962963,pallets/flask
pallets,flask,2033,failing test for safe_join in windows,closed,2016-09-21 09:41:07+00:00,2017-05-16 00:11:35+00:00,0,bug;testing,https://github.com/pallets/flask/issues/2033,5678.507777777778,236.60449074074074,pallets/flask
pallets,flask,2007,Prevent setting `SERVER_NAME` and `SESSION_COOKIE_DOMAIN` to an IP address,closed,2016-09-06 12:39:36+00:00,2017-05-14 05:13:57+00:00,13,discussion;bug,https://github.com/pallets/flask/issues/2007,5992.5725,249.69052083333335,pallets/flask
pallets,flask,1995,No response and No exception traceback when render_template failed and DEBUG=True,closed,2016-08-27 06:14:30+00:00,2017-05-29 19:50:13+00:00,22,blocker;bug,https://github.com/pallets/flask/issues/1995,6613.5952777777775,275.5664699074074,pallets/flask
pallets,flask,1980,"""Larger Applications"" docs don't play nicely with flask run",closed,2016-08-09 17:51:00+00:00,2016-09-11 16:05:28+00:00,7,docs;bug,https://github.com/pallets/flask/issues/1980,790.2411111111111,32.92671296296296,pallets/flask
pallets,flask,1911,Wrong import json library,closed,2016-06-14 09:02:06+00:00,2017-05-22 19:37:58+00:00,24,bug;good first issue;json,https://github.com/pallets/flask/issues/1911,8218.597777777777,342.441574074074,pallets/flask
pallets,flask,1902,Import error with some examples,closed,2016-06-09 20:35:18+00:00,2016-08-22 18:53:44+00:00,30,docs;bug;cli,https://github.com/pallets/flask/issues/1902,1774.3072222222222,73.92946759259259,pallets/flask
pallets,flask,1893,Travis 3.3-devel job fails with error about urllib2 in Werkzeug,closed,2016-06-07 16:28:49+00:00,2016-06-07 17:32:48+00:00,3,bug;testing,https://github.com/pallets/flask/issues/1893,1.0663888888888888,0.044432870370370366,pallets/flask
pallets,flask,1877,jsonify no longer causes Content-Length to be set on returned Response object,closed,2016-06-03 08:24:29+00:00,2017-05-30 20:47:38+00:00,13,bug,https://github.com/pallets/flask/issues/1877,8676.385833333334,361.5160763888889,pallets/flask
pallets,flask,1837,Setting error handler for unknown code fails,closed,2016-05-31 07:51:12+00:00,2017-06-01 01:10:00+00:00,23,docs;bug,https://github.com/pallets/flask/issues/1837,8777.313333333334,365.7213888888889,pallets/flask
pallets,flask,1829,"""[Errno 2] No such file or directory"" on flask run with FLASK_DEBUG=1",closed,2016-05-29 19:03:30+00:00,2016-12-26 18:59:20+00:00,30,bug;cli,https://github.com/pallets/flask/issues/1829,5063.930555555556,210.9971064814815,pallets/flask
pallets,flask,1427,Bug in send_file with temp files,closed,2015-04-10 16:52:33+00:00,2016-06-03 16:17:04+00:00,12,bug,https://github.com/pallets/flask/issues/1427,10079.408611111112,419.97535879629635,pallets/flask
pallets,flask,1406,Generic error handler for any exception,closed,2015-03-29 15:54:55+00:00,2015-03-29 17:16:25+00:00,8,bug,https://github.com/pallets/flask/issues/1406,1.3583333333333334,0.05659722222222222,pallets/flask
pallets,flask,1348,sessions not saved when streaming,closed,2015-02-08 19:03:16+00:00,2017-06-03 19:26:15+00:00,3,bug;session,https://github.com/pallets/flask/issues/1348,20304.383055555554,846.015960648148,pallets/flask
pallets,flask,1330,Method is_json does not support capital letters in mimetype,closed,2015-01-28 15:34:45+00:00,2015-01-29 09:24:38+00:00,5,bug,https://github.com/pallets/flask/issues/1330,17.83138888888889,0.742974537037037,pallets/flask
pallets,flask,1173,python3 -mpdb myflaskapp.py fon ubuntu 14.04,closed,2014-09-10 17:17:49+00:00,2014-10-19 18:20:57+00:00,7,bug,https://github.com/pallets/flask/issues/1173,937.0522222222222,39.04384259259259,pallets/flask
pallets,flask,1169,"BUG in ""send_file"" and ""send_from_directory""",closed,2014-09-04 10:38:47+00:00,2015-11-07 09:15:11+00:00,40,bug,https://github.com/pallets/flask/issues/1169,10294.606666666667,428.94194444444446,pallets/flask
pallets,flask,1167,Randomly Unresponsive After Strange Character Requests,closed,2014-09-03 20:37:59+00:00,2014-10-19 18:23:11+00:00,8,bug,https://github.com/pallets/flask/issues/1167,1101.7533333333333,45.90638888888889,pallets/flask
pallets,flask,1124,"CLI: ""flask"" command help doesn't list custom commands",closed,2014-07-16 08:39:22+00:00,2016-05-26 19:29:49+00:00,11,bug;cli,https://github.com/pallets/flask/issues/1124,16330.840833333334,680.4517013888889,pallets/flask
pallets,flask,941,Registering a handler for HTTPException has no effect,closed,2014-01-03 18:58:20+00:00,2017-05-23 19:55:33+00:00,20,blocker;bug,https://github.com/pallets/flask/issues/941,29664.953611111112,1236.0397337962963,pallets/flask
psf,requests,6544,Conflicting requirements for urllib3,closed,2023-10-06 20:05:38+00:00,2023-10-06 22:34:25+00:00,1,Bug,https://github.com/psf/requests/issues/6544,2.479722222222222,0.10332175925925925,psf/requests
psf,requests,6104,ValueError when calling requests.get on windows systems.,closed,2022-04-06 17:14:25+00:00,2022-06-01 17:38:00+00:00,14,Bug;Contributor Friendly,https://github.com/psf/requests/issues/6104,1344.3930555555555,56.01637731481481,psf/requests
psf,requests,6027,Proxy authentication bug,closed,2022-01-03 22:12:00+00:00,2022-01-04 16:04:25+00:00,12,Bug,https://github.com/psf/requests/issues/6027,17.87361111111111,0.7447337962962962,psf/requests
psf,requests,5921,requests should ignore REQUESTS_CA_BUNDLE when session.verify is False,closed,2021-09-01 12:18:14+00:00,2021-09-04 21:37:49+00:00,4,Bug;Breaking API Change,https://github.com/psf/requests/issues/5921,81.32638888888889,3.3885995370370368,psf/requests
psf,requests,5891,Session requests are ~70% slower in version 2.26.0,closed,2021-07-28 16:43:39+00:00,2021-12-30 21:40:46+00:00,5,Bug,https://github.com/psf/requests/issues/5891,3724.9519444444445,155.2063310185185,psf/requests
psf,requests,5888,Manually set Proxy-Authorization header is always removed in 2.26,closed,2021-07-27 14:24:46+00:00,2021-11-24 19:28:59+00:00,5,Bug,https://github.com/psf/requests/issues/5888,2885.070277777778,120.21126157407407,psf/requests
psf,requests,5855,proxy URLs without schemes break under Python 3.9,closed,2021-07-01 23:56:49+00:00,2021-12-30 21:36:55+00:00,6,Bug,https://github.com/psf/requests/issues/5855,4365.668333333333,181.90284722222222,psf/requests
psf,requests,4986,Doctest fails (7 out of 11),closed,2019-02-17 18:24:38+00:00,2021-08-07 02:26:11+00:00,2,Bug;PR(s) available,https://github.com/psf/requests/issues/4986,21632.025833333333,901.3344097222222,psf/requests
psf,requests,4748,case-insensitive charset handling,closed,2018-07-24 14:28:26+00:00,2018-07-24 16:46:20+00:00,4,Bug,https://github.com/psf/requests/issues/4748,2.2983333333333333,0.09576388888888888,psf/requests
psf,requests,4746,urllib3 LocationParseError uncaught by requests,closed,2018-07-23 09:43:33+00:00,2018-10-01 02:25:44+00:00,2,Bug,https://github.com/psf/requests/issues/4746,1672.7030555555555,69.69596064814814,psf/requests
psf,requests,4716,Should Authorization header be cleared in https -> http redirect?,closed,2018-06-27 09:06:49+00:00,2018-09-14 12:08:05+00:00,4,Bug,https://github.com/psf/requests/issues/4716,1899.0211111111112,79.12587962962964,psf/requests
psf,requests,4649,utf-8 passwords in url don't work,closed,2018-05-16 16:25:58+00:00,2018-10-03 16:11:33+00:00,7,Bug,https://github.com/psf/requests/issues/4649,3359.759722222222,139.98998842592593,psf/requests
psf,requests,4592,Malformed `Set-Cookie` containing CRLF does not cause an error,closed,2018-04-17 02:42:53+00:00,2024-05-19 19:10:13+00:00,7,Bug,https://github.com/psf/requests/issues/4592,53392.455555555556,2224.685648148148,psf/requests
psf,requests,4443,fragment not append on redirect,closed,2018-01-01 13:57:19+00:00,2018-01-21 18:53:24+00:00,5,Bug,https://github.com/psf/requests/issues/4443,484.9347222222222,20.205613425925925,psf/requests
psf,requests,4401,Find cause of status code 0,closed,2017-11-27 10:39:30+00:00,2017-11-27 21:52:45+00:00,6,Bug;Propose Close;Needs More Information,https://github.com/psf/requests/issues/4401,11.220833333333333,0.4675347222222222,psf/requests
psf,requests,4392,Streamed request with preset Host header sends two Host headers,closed,2017-11-20 19:04:03+00:00,2024-05-19 18:59:48+00:00,8,Bug,https://github.com/psf/requests/issues/4392,56927.92916666667,2371.997048611111,psf/requests
psf,requests,4362,Redirect resolved even though allow_redirects is set to False causing exception for unsupported connection adapter,closed,2017-10-31 13:11:11+00:00,2021-12-29 02:32:57+00:00,6,Bug,https://github.com/psf/requests/issues/4362,36469.36277777778,1519.5567824074076,psf/requests
psf,requests,4275,Requests tries to resolve `user:pass@host` on OS X,closed,2017-09-05 10:13:27+00:00,2018-01-16 14:07:27+00:00,1,Bug;PR(s) Wanted,https://github.com/psf/requests/issues/4275,3195.9,133.1625,psf/requests
psf,requests,4030,fix pypi page,closed,2017-05-17 14:38:38+00:00,2017-05-18 01:41:01+00:00,3,Bug;Planned;Contributor Friendly;Documentation,https://github.com/psf/requests/issues/4030,11.039722222222222,0.4599884259259259,psf/requests
psf,requests,3696,A whitespace at the start of Url causes error on request,closed,2016-11-16 16:05:10+00:00,2016-11-16 18:38:12+00:00,4,Bug;Contributor Friendly,https://github.com/psf/requests/issues/3696,2.5505555555555555,0.10627314814814814,psf/requests
psf,requests,3689,security extras need to be updated,closed,2016-11-16 01:03:01+00:00,2016-11-16 10:33:47+00:00,2,Bug;Contributor Friendly,https://github.com/psf/requests/issues/3689,9.512777777777778,0.39636574074074077,psf/requests
psf,requests,3683,URL has an invalid label.,closed,2016-11-15 14:50:57+00:00,2016-11-30 15:07:22+00:00,29,Bug,https://github.com/psf/requests/issues/3683,360.2736111111111,15.011400462962962,psf/requests
psf,requests,3597,TypeError in MockRequest when 'Host' header set to bytestring,closed,2016-09-25 06:04:14+00:00,2016-09-29 07:09:41+00:00,3,Bug;Contributor Friendly,https://github.com/psf/requests/issues/3597,97.09083333333334,4.045451388888889,psf/requests
psf,requests,3578,"""LookupError: unknown encoding: idna"" in worker threads, under embedded Python 3.5",closed,2016-09-16 22:43:02+00:00,2016-09-17 07:19:01+00:00,5,Bug;Contributor Friendly,https://github.com/psf/requests/issues/3578,8.599722222222223,0.3583217592592593,psf/requests
psf,requests,3518,ALL_PROXY is incorrectly preferred to HTTP(S)_PROXY,closed,2016-08-17 12:04:32+00:00,2016-08-25 12:45:16+00:00,2,Bug;Contributor Friendly,https://github.com/psf/requests/issues/3518,192.67888888888888,8.028287037037037,psf/requests
psf,requests,3490,Remove header in middle of redirection,closed,2016-08-09 18:24:05+00:00,2016-08-12 19:57:40+00:00,8,Bug;Contributor Friendly,https://github.com/psf/requests/issues/3490,73.55972222222222,3.0649884259259257,psf/requests
psf,requests,3481,Error with decode_unicode=True on streamed response,closed,2016-08-09 07:58:53+00:00,2016-09-11 09:11:16+00:00,9,Bug,https://github.com/psf/requests/issues/3481,793.2063888888889,33.05026620370371,psf/requests
psf,requests,3359,Uncertain about content/text vs iter_content(decode_unicode=True/False),closed,2016-06-22 00:19:56+00:00,2016-09-24 17:01:11+00:00,15,Bug,https://github.com/psf/requests/issues/3359,2272.6875,94.6953125,psf/requests
psf,requests,3090,Session.close() doesn't work with proxies,closed,2016-04-13 14:29:33+00:00,2016-04-15 13:36:43+00:00,4,Bug;Contributor Friendly,https://github.com/psf/requests/issues/3090,47.11944444444445,1.9633101851851853,psf/requests
psf,requests,3068,Response read hangs,closed,2016-03-27 20:57:08+00:00,2016-03-28 15:35:07+00:00,5,Bug,https://github.com/psf/requests/issues/3068,18.633055555555554,0.7763773148148148,psf/requests
psf,requests,3066,auth and data set results in invalid http header,closed,2016-03-25 11:30:41+00:00,2016-12-08 12:33:12+00:00,12,Bug,https://github.com/psf/requests/issues/3066,6193.041944444444,258.0434143518518,psf/requests
psf,requests,3028,"""in"" operation on resp.cookies should not raise CookieConflictError",closed,2016-03-03 12:37:56+00:00,2016-04-16 04:05:38+00:00,3,Bug;Contributor Friendly,https://github.com/psf/requests/issues/3028,1047.4616666666666,43.644236111111105,psf/requests
psf,requests,3009,"Inspecting 'response.ok' with non-ascii HTTP status ""reason"" content causes UnicodeDecodeError",closed,2016-02-12 23:09:13+00:00,2016-08-05 00:10:35+00:00,12,Bug,https://github.com/psf/requests/issues/3009,4177.022777777778,174.04261574074076,psf/requests
psf,requests,2998,Requests default to environment CA even when there's a session-set CA,closed,2016-02-05 23:16:51+00:00,2016-02-10 08:46:49+00:00,4,Bug,https://github.com/psf/requests/issues/2998,105.49944444444445,4.395810185185185,psf/requests
psf,requests,2997,allow_redirects=True for one get affects the next one,closed,2016-02-05 19:41:55+00:00,2016-02-05 22:53:55+00:00,7,Bug,https://github.com/psf/requests/issues/2997,3.2,0.13333333333333333,psf/requests
psf,requests,2949,Session's Authorization header isn't sent on redirect,closed,2015-12-28 21:44:14+00:00,2021-09-08 22:43:04+00:00,37,Bug,https://github.com/psf/requests/issues/2949,49944.98055555556,2081.0408564814816,psf/requests
psf,requests,2935,KeyError in connectionpool?,closed,2015-12-18 00:38:06+00:00,2016-03-09 08:17:03+00:00,44,Bug;Needs More Information,https://github.com/psf/requests/issues/2935,1975.6491666666666,82.31871527777777,psf/requests
psf,requests,2925,Deadlock caused by local import in different thread.,closed,2015-12-11 18:35:38+00:00,2024-05-20 14:35:55+00:00,16,Bug;Planned,https://github.com/psf/requests/issues/2925,73988.00472222222,3082.8335300925924,psf/requests
psf,requests,2844,_encode_params return bytes that break urlencode,closed,2015-10-23 11:27:22+00:00,2015-10-23 12:24:36+00:00,8,Bug;Contributor Friendly,https://github.com/psf/requests/issues/2844,0.9538888888888889,0.03974537037037037,psf/requests
psf,requests,2756,Json supersedes data in prepare_body,closed,2015-09-04 23:44:09+00:00,2015-10-06 14:52:47+00:00,4,Bug;Contributor Friendly,https://github.com/psf/requests/issues/2756,759.1438888888889,31.63099537037037,psf/requests
psf,requests,2708,user-agent not sent in CONNECT makes the request fail (proxy is used),closed,2015-08-05 09:29:13+00:00,2024-05-20 14:36:16+00:00,15,Bug,https://github.com/psf/requests/issues/2708,77069.1175,3211.213229166666,psf/requests
psf,requests,2707,parse_header_links fails for momento link headers,closed,2015-08-05 08:05:52+00:00,2016-09-23 06:43:09+00:00,4,Bug,https://github.com/psf/requests/issues/2707,9958.621388888889,414.94255787037036,psf/requests
psf,requests,2620,Connect Error or Timeout Error,closed,2015-06-01 14:00:42+00:00,2015-06-02 20:53:50+00:00,6,Bug;Planned,https://github.com/psf/requests/issues/2620,30.885555555555555,1.286898148148148,psf/requests
psf,requests,2599,"Auth handler should be calling close, not release_conn",closed,2015-05-13 15:10:24+00:00,2015-05-14 06:15:18+00:00,2,Bug;Planned;Contributor Friendly,https://github.com/psf/requests/issues/2599,15.081666666666667,0.6284027777777778,psf/requests
psf,requests,2540,MisssingSchema error message does not handle unicode input correctly,closed,2015-04-08 00:56:52+00:00,2015-04-11 19:11:01+00:00,3,Bug;Contributor Friendly,https://github.com/psf/requests/issues/2540,90.23583333333333,3.759826388888889,psf/requests
psf,requests,2530,"__build__ out of sync? Still at 0x020503, looks like 2.5.3 rather than 2.6.0",closed,2015-04-05 21:21:27+00:00,2015-04-06 21:54:22+00:00,1,Bug,https://github.com/psf/requests/issues/2530,24.54861111111111,1.0228587962962963,psf/requests
psf,requests,2503,Redirect doesn't pass all parameters,closed,2015-03-17 13:41:37+00:00,2015-05-03 15:06:00+00:00,4,Bug,https://github.com/psf/requests/issues/2503,1129.4063888888888,47.05859953703703,psf/requests
psf,requests,2455,"CERTIFICATE_VERIFY_FAILED with 2.5.2, works with 2.5.1",closed,2015-02-24 01:11:01+00:00,2015-05-31 12:57:28+00:00,111,Bug;Planned,https://github.com/psf/requests/issues/2455,2315.7741666666666,96.49059027777777,psf/requests
psf,requests,2345,Using RecentlyUsedContainer for session cache breaks pickling,closed,2014-11-16 15:52:15+00:00,2014-11-30 19:12:43+00:00,5,Bug,https://github.com/psf/requests/issues/2345,339.3411111111111,14.139212962962963,psf/requests
psf,requests,2336,Timeout for connecting to proxy,closed,2014-11-13 12:10:06+00:00,2015-03-02 09:49:24+00:00,38,Bug,https://github.com/psf/requests/issues/2336,2613.655,108.90229166666667,psf/requests
psf,requests,2255,Session requests should respect verify=False,closed,2014-09-29 01:06:48+00:00,2015-08-31 09:45:01+00:00,20,Bug,https://github.com/psf/requests/issues/2255,8072.636944444444,336.35987268518517,psf/requests
psf,requests,2250,Link header parsing breaks if attribute value has commas,closed,2014-09-25 20:01:41+00:00,2014-10-10 18:30:18+00:00,5,Bug;Contributor Friendly,https://github.com/psf/requests/issues/2250,358.4769444444444,14.93653935185185,psf/requests
psf,requests,2229,full URL sent instead of path when using https proxy,closed,2014-09-16 23:23:44+00:00,2015-05-03 15:12:33+00:00,9,Bug,https://github.com/psf/requests/issues/2229,5487.813611111111,228.65890046296295,psf/requests
psf,requests,2228,Documentation examples.,closed,2014-09-16 15:15:50+00:00,2021-11-28 03:00:28+00:00,15,Bug;Contributor Friendly;Documentation,https://github.com/psf/requests/issues/2228,63107.74388888889,2629.4893287037034,psf/requests
psf,requests,2169,Connection keep alive issue,closed,2014-08-18 13:51:38+00:00,2014-08-29 14:24:23+00:00,26,Bug;Please Review,https://github.com/psf/requests/issues/2169,264.54583333333335,11.022743055555557,psf/requests
psf,requests,2144,socket.error exception not caught/wrapped in a requests exception (ConnectionError perhaps?),closed,2014-07-22 10:23:48+00:00,2014-07-27 13:59:08+00:00,1,Bug;Contributor Friendly,https://github.com/psf/requests/issues/2144,123.58888888888889,5.149537037037037,psf/requests
psf,requests,2063,Mutating Session.proxies does not work,closed,2014-05-25 19:42:09+00:00,2014-05-28 08:06:33+00:00,22,Bug,https://github.com/psf/requests/issues/2063,60.406666666666666,2.5169444444444444,psf/requests
psf,requests,2003,auth kwarg cannot be used to authenticate an HTTPS request through a HTTP proxy,closed,2014-04-15 04:18:58+00:00,2016-12-17 17:00:48+00:00,7,Bug;Planned;Breaking API Change,https://github.com/psf/requests/issues/2003,23460.69722222222,977.5290509259258,psf/requests
psf,requests,1871,Our use of urllib3's ConnectionPools is not threadsafe.,closed,2014-01-20 11:09:18+00:00,2018-02-24 14:55:18+00:00,27,Bug;Planned,https://github.com/psf/requests/issues/1871,35907.76666666667,1496.1569444444447,psf/requests
psf,requests,1767,HTTP Basic Auth credentials extracted from URL are %-encoded,closed,2013-12-01 09:22:15+00:00,2013-12-04 01:36:00+00:00,2,Bug;Fixed,https://github.com/psf/requests/issues/1767,64.22916666666667,2.676215277777778,psf/requests
psf,requests,1755,Streaming uploads with HTTPBasicAuth causes stuck on resending the request,closed,2013-11-24 12:30:06+00:00,2013-12-05 23:04:56+00:00,5,Bug;Fixed,https://github.com/psf/requests/issues/1755,274.5805555555556,11.440856481481482,psf/requests
psf,requests,1746,Don't lowercase the whole URL when opening a connection,closed,2013-11-19 08:53:32+00:00,2013-12-05 23:05:08+00:00,8,Bug;Fixed,https://github.com/psf/requests/issues/1746,398.1933333333333,16.59138888888889,psf/requests
psf,requests,1732,SNI support broken on Python 2.X in 2.0.1.,closed,2013-11-09 08:57:36+00:00,2013-12-05 23:05:18+00:00,3,Bug;Fixed,https://github.com/psf/requests/issues/1732,638.1283333333333,26.588680555555555,psf/requests
psf,requests,1711,Regression 2.0.1: Using MozillaCookieJar does not work,closed,2013-10-29 12:27:21+00:00,2013-12-04 01:33:33+00:00,4,Bug;Fixed,https://github.com/psf/requests/issues/1711,853.1033333333334,35.545972222222225,psf/requests
psf,requests,1703,proxy with authentication fails in requests 2.0,closed,2013-10-25 08:30:03+00:00,2013-12-05 23:05:28+00:00,11,Bug;Fixed,https://github.com/psf/requests/issues/1703,998.5902777777778,41.60792824074074,psf/requests
psf,requests,1685,Possible Memory Leak,closed,2013-10-17 17:03:10+00:00,2016-04-16 04:18:33+00:00,54,Bug,https://github.com/psf/requests/issues/1685,21875.256388888887,911.4690162037036,psf/requests
psf,requests,1655,Session hooks broken,closed,2013-10-07 10:24:32+00:00,2013-12-04 01:33:42+00:00,7,Bug;Contributor Friendly;Fixed,https://github.com/psf/requests/issues/1655,1383.1527777777778,57.63136574074074,psf/requests
psf,requests,1648,"Header ""Transfer-Encoding: chunked"" set even if Content-Length is provided which causes body to not actually get chunked",closed,2013-10-04 00:02:56+00:00,2017-03-02 16:28:35+00:00,52,Bug;Breaking API Change,https://github.com/psf/requests/issues/1648,29896.4275,1245.6844791666667,psf/requests
psf,requests,1642,Requests doesn't clean up on failed streaming uploads.,closed,2013-10-02 12:33:03+00:00,2013-12-05 23:06:26+00:00,2,Bug,https://github.com/psf/requests/issues/1642,1546.556388888889,64.43984953703703,psf/requests
psf,requests,1630,Cookies not persisted when set via functional API.,closed,2013-09-27 08:50:44+00:00,2013-10-07 23:22:49+00:00,7,Bug;Contributor Friendly,https://github.com/psf/requests/issues/1630,254.53472222222223,10.605613425925926,psf/requests
psf,requests,1622,Requests 2.0.0 breaks SSL proxying via https_port of Squid.,closed,2013-09-25 03:16:36+00:00,2015-01-19 09:25:49+00:00,40,Bug;Propose Close,https://github.com/psf/requests/issues/1622,11550.15361111111,481.256400462963,psf/requests
psf,requests,1572,urllib3 exceptions passing through requests API,closed,2013-09-03 09:36:19+00:00,2015-10-05 14:09:46+00:00,13,Bug;Planned;Contributor Friendly,https://github.com/psf/requests/issues/1572,18292.5575,762.1898958333333,psf/requests
psf,requests,1561,Header keys lose their case,closed,2013-08-30 14:43:45+00:00,2017-01-09 16:17:38+00:00,11,Bug;Planned,https://github.com/psf/requests/issues/1561,29473.56472222222,1228.0651967592592,psf/requests
psf,requests,1434,"stream_decode_response_unicode fails in Python 3 at rv = decoder.decode('', final=True)",closed,2013-06-25 15:17:55+00:00,2013-06-26 07:38:03+00:00,3,Bug;Contributor Friendly,https://github.com/psf/requests/issues/1434,16.335555555555555,0.6806481481481481,psf/requests
psf,requests,1397,bug report,closed,2013-05-30 18:41:17+00:00,2013-08-17 06:35:52+00:00,10,Bug,https://github.com/psf/requests/issues/1397,1883.9097222222222,78.49623842592592,psf/requests
psf,requests,1336,Set cookie on 401,closed,2013-04-30 03:19:58+00:00,2013-08-15 07:59:47+00:00,47,Bug,https://github.com/psf/requests/issues/1336,2572.663611111111,107.19431712962962,psf/requests
psf,requests,1335,Content-Length header is duplicated on Python3,closed,2013-04-30 02:58:10+00:00,2013-06-08 09:57:00+00:00,6,Bug;Contributor Friendly,https://github.com/psf/requests/issues/1335,942.9805555555556,39.290856481481484,psf/requests
psf,requests,1324,Session with CookieJar/LWPCookieJar cause AttributeError,closed,2013-04-25 01:22:58+00:00,2013-04-26 10:57:36+00:00,3,Bug,https://github.com/psf/requests/issues/1324,33.577222222222225,1.399050925925926,psf/requests
psf,requests,1261,Issue arising from #1190,closed,2013-03-23 01:21:55+00:00,2013-03-27 18:31:37+00:00,11,Bug,https://github.com/psf/requests/issues/1261,113.16166666666666,4.7150694444444445,psf/requests
psf,requests,1189,Multiple Cookies on Redirect,closed,2013-02-13 23:09:02+00:00,2013-02-17 01:17:07+00:00,8,Bug,https://github.com/psf/requests/issues/1189,74.13472222222222,3.0889467592592594,psf/requests
psf,requests,1124,"SSLError from imgur API, however proper cert appears via Chrome",closed,2013-01-22 03:01:58+00:00,2013-02-10 22:37:55+00:00,12,Bug,https://github.com/psf/requests/issues/1124,475.5991666666667,19.816631944444445,psf/requests
psf,requests,1102,address compromised TURKTRUST certificates,closed,2013-01-15 11:30:17+00:00,2013-01-17 10:53:19+00:00,6,Bug,https://github.com/psf/requests/issues/1102,47.38388888888889,1.9743287037037038,psf/requests
psf,requests,1096,OAuth 1 requests with BODY signature_type send no body data and set Content-Length: 0 ,closed,2013-01-11 19:44:55+00:00,2013-02-10 22:55:13+00:00,1,Bug;Contributor Friendly,https://github.com/psf/requests/issues/1096,723.1716666666666,30.132152777777776,psf/requests
